time,SWBGT_U_def,SWBGT_U_lcz,hour,minute,diurnal
2013-07-22 00:00:00,21.938726,22.332767,0,0,00:00
2013-07-22 00:30:00,21.872414,22.28395,0,30,00:30
2013-07-22 01:00:00,21.681364,22.098442,1,0,01:00
2013-07-22 01:30:00,21.625538,22.064867,1,30,01:30
2013-07-22 02:00:00,21.534475,21.982815,2,0,02:00
2013-07-22 02:30:00,21.466385,21.943382,2,30,02:30
2013-07-22 03:00:00,21.315685,21.767895,3,0,03:00
2013-07-22 03:30:00,21.013685,21.439442,3,30,03:30
2013-07-22 04:00:00,20.744205,21.15706,4,0,04:00
2013-07-22 04:30:00,20.53643,20.952028,4,30,04:30
2013-07-22 05:00:00,20.492718,20.917156,5,0,05:00
2013-07-22 05:30:00,20.81047,21.20794,5,30,05:30
2013-07-22 06:00:00,20.892277,21.244204,6,0,06:00
2013-07-22 06:30:00,21.04004,21.371628,6,30,06:30
2013-07-22 07:00:00,21.32322,21.639622,7,0,07:00
2013-07-22 07:30:00,21.788225,22.058321,7,30,07:30
2013-07-22 08:00:00,22.505886,22.69335,8,0,08:00
2013-07-22 08:30:00,23.124645,23.242746,8,30,08:30
2013-07-22 09:00:00,23.84357,23.907171,9,0,09:00
2013-07-22 09:30:00,24.556639,24.576216,9,30,09:30
2013-07-22 10:00:00,25.429644,25.39792,10,0,10:00
2013-07-22 10:30:00,26.148867,26.118212,10,30,10:30
2013-07-22 11:00:00,26.919222,26.867495,11,0,11:00
2013-07-22 11:30:00,27.642046,27.5786,11,30,11:30
2013-07-22 12:00:00,28.22708,28.156773,12,0,12:00
2013-07-22 12:30:00,28.549482,28.473251,12,30,12:30
2013-07-22 13:00:00,28.357151,28.301924,13,0,13:00
2013-07-22 13:30:00,28.577766,28.539387,13,30,13:30
2013-07-22 14:00:00,28.465422,28.451315,14,0,14:00
2013-07-22 14:30:00,28.645937,28.655012,14,30,14:30
2013-07-22 15:00:00,28.597044,28.628613,15,0,15:00
2013-07-22 15:30:00,28.517538,28.567017,15,30,15:30
2013-07-22 16:00:00,28.567144,28.624378,16,0,16:00
2013-07-22 16:30:00,28.538221,28.58993,16,30,16:30
2013-07-22 17:00:00,28.278622,28.333551,17,0,17:00
2013-07-22 17:30:00,28.03768,28.120007,17,30,17:30
2013-07-22 18:00:00,27.684961,27.788425,18,0,18:00
2013-07-22 18:30:00,27.512922,27.631601,18,30,18:30
2013-07-22 19:00:00,27.33997,27.491781,19,0,19:00
2013-07-22 19:30:00,26.858448,27.037603,19,30,19:30
2013-07-22 20:00:00,26.829838,27.518423,20,0,20:00
2013-07-22 20:30:00,26.145758,26.513205,20,30,20:30
2013-07-22 21:00:00,25.796783,25.946047,21,0,21:00
2013-07-22 21:30:00,25.47605,25.601147,21,30,21:30
2013-07-22 22:00:00,25.365862,25.430208,22,0,22:00
2013-07-22 22:30:00,25.095774,25.274704,22,30,22:30
2013-07-22 23:00:00,24.893108,25.26938,23,0,23:00
2013-07-22 23:30:00,25.531195,26.601446,23,30,23:30
